Alpha,T2-VLM1+Drag, , Alpha,T2-VLM1+Drag, , Alpha,T2-VLM1+Drag, , Alpha,T2-VLM1+Drag, , Alpha,T2-VLM1+Drag, , Alpha,T2-VLM1+Drag, , Alpha,T2-VLM1+Drag, , Alpha,T2-VLM1+Drag, , Alpha,T2-VLM1+Drag, , Alpha,T2-VLM1+Drag, , Alpha,T2-VLM1+Drag, , Alpha,T7-VLM2+Drag, , 
           -1,     0.4365916, ,            -1,     0.4357457, ,            -1,     0.5457025, ,            -1,     0.3265074, ,            -1,     0.1825859, ,            -1,     0.6562913, ,          -1.5,     0.4889186, ,            -2,     0.6039552, ,            -1,     0.5598322, ,            -1,     0.6211595, ,            -1,     0.6819756, ,       6.78575,      7.550115, , 
         -0.5,      1.126062, ,          -0.5,      1.123713, ,          -0.5,       1.23794, ,          -0.5,      1.010076, ,          -0.5,     0.8970763, ,          -0.5,      1.352471, ,            -1,      1.211513, ,          -1.5,      1.344104, ,          -0.5,      1.279787, ,          -0.5,      1.356938, ,          -0.5,      1.433497, ,       6.78575,      7.550115, , 
            0,      1.815748, ,             0,       1.81417, ,             0,      1.935367, ,             0,      1.693429, ,             0,      1.573161, ,             0,      2.056694, ,          -0.5,      1.922502, ,            -1,      2.065341, ,             0,      2.008166, ,             0,      2.104477, ,             0,      2.200464, ,       6.78575,      7.550115, , 
          0.5,      2.524353, ,           0.5,      2.521687, ,           0.5,      2.647983, ,           0.5,      2.395095, ,           0.5,      2.268373, ,           0.5,      2.773331, ,             0,      2.652828, ,          -0.5,      2.776429, ,           0.5,      2.750493, ,           0.5,      2.863424, ,           0.5,      2.975285, ,       6.78575,      7.550115, , 
            1,      3.198202, ,             1,      3.190295, ,             1,       3.31734, ,             1,      3.062195, ,             1,      2.933477, ,             1,      3.442265, ,           0.5,      3.372846, ,             0,      3.516991, ,             1,      3.445032, ,             1,      3.570755, ,             1,      3.695419, ,       6.78575,      7.550115, , 
          1.5,      3.832966, ,           1.5,      3.822153, ,           1.5,      3.948478, ,           1.5,      3.693274, ,           1.5,      3.563012, ,           1.5,      4.071909, ,             1,      4.030864, ,           0.5,      4.201286, ,           1.5,      4.102413, ,           1.5,      4.240749, ,           1.5,       4.37789, ,       6.78575,      7.550115, , 
            2,      4.436242, ,             2,      4.423149, ,             2,      4.547195, ,             2,      4.295452, ,             2,      4.164889, ,             2,      4.667917, ,           1.5,      4.645374, ,             1,      4.816691, ,             2,      4.726797, ,             2,      4.876524, ,             2,      5.025002, ,       6.78575,      7.550115, , 
          2.5,      5.004725, ,           2.5,      4.989214, ,           2.5,      5.109777, ,           2.5,      4.864714, ,           2.5,      4.736005, ,           2.5,      5.226741, ,             2,      5.220227, ,           1.5,      5.386549, ,           2.5,      5.314109, ,           2.5,      5.477722, ,           2.5,      5.654816, ,       6.78575,      7.550115, , 
            3,      5.535586, ,             3,       5.52605, ,             3,      5.651119, ,             3,      5.399763, ,             3,      5.273708, ,             3,      5.774881, ,           2.5,      5.762877, ,             2,      5.933136, ,             3,      5.931017, ,             3,      6.155271, ,             3,       6.39598, ,       6.78575,      7.550115, , 
          3.5,      6.041839, ,           3.5,       6.12564, ,           3.5,      6.264337, ,           3.5,      5.985224, ,           3.5,      5.842736, ,           3.5,      6.403116, ,             3,      6.372791, ,           2.5,      6.556264, ,           3.5,       6.62562, ,           3.5,      6.853571, ,           3.5,      7.042896, ,       6.78575,      7.550115, , 
            4,      6.604709, ,             4,      6.655616, ,             4,      6.747323, ,             4,      6.550837, ,             4,      6.435216, ,             4,      6.829318, ,           3.5,      6.986047, ,             3,       7.15534, ,             4,      6.812394, ,             4,      6.884841, ,             4,      6.972208, ,       6.78575,      7.550115, , 
          4.5,      6.992282, ,           4.5,      6.691595, ,           4.5,      6.753018, ,           4.5,      6.629063, ,           4.5,      6.566464, ,           4.5,      6.811976, ,             4,      7.070802, ,           3.5,      7.519061, ,           4.5,       6.89302, ,           4.5,       7.02422, ,           4.5,      7.164524, ,       6.78575,      7.550115, , 
            5,      6.984954, ,             5,      6.799546, ,             5,      6.874118, ,             5,      6.726806, ,             5,      6.643923, ,             5,      6.941024, ,           4.5,      7.088074, ,             4,      7.318775, ,             5,      7.087869, ,             5,      7.271948, ,             5,       7.48652, ,       6.78575,      7.550115, , 
          5.5,      7.064228, ,           5.5,      6.977262, ,           5.5,       7.05956, ,           5.5,      6.890662, ,           5.5,      6.812134, ,           5.5,      7.133896, ,             5,      7.254619, ,           4.5,      7.483914, ,           5.5,      7.413614, ,           5.5,      7.689113, ,           5.5,      8.009755, , , , , 
            6,      7.177195, ,             6,      7.279254, ,             6,      7.371687, ,             6,      7.176535, ,             6,       7.06998, ,             6,       7.47625, ,           5.5,      7.532345, ,             5,      7.745152, ,             6,      7.919815, ,             6,      8.258649, ,             6,      8.564108, , , , , 
          6.5,      7.383198, ,           6.5,      7.748689, ,           6.5,      7.862892, ,           6.5,      7.629207, ,           6.5,      7.495566, ,           6.5,      7.973354, ,             6,      7.970052, ,           5.5,      8.157272, ,           6.5,      8.428067, ,           6.5,      8.702845, ,           6.5,      8.925035, , , , , 
            7,      7.735039, ,             7,      8.223143, ,             7,      8.310968, ,             7,      8.129663, ,             7,       8.01889, ,             7,       8.39486, ,           6.5,      8.409227, ,             6,      8.542738, ,             7,      8.751074, ,             7,      8.950577, ,             7,      9.147711, , , , , 
          7.5,          8.23, ,           7.5,       8.53274, ,           7.5,      8.586745, ,           7.5,      8.466848, ,           7.5,      8.389127, ,           7.5,       8.63729, ,             7,      8.696916, ,           6.5,      8.788609, ,           7.5,       8.93873, ,           7.5,      9.138134, ,           7.5,      9.335068, , , , , 
            8,      8.625331, ,             8,      8.690093, ,             8,      8.738298, ,             8,      8.638338, ,             8,        8.5826, ,             8,      8.783584, ,           7.5,       8.84673, ,             7,      8.927783, ,             8,      9.094865, ,             8,      9.293301, ,             8,      9.489321, , , , , 
          8.5,      8.848958, ,           8.5,      8.819493, ,           8.5,      8.862594, ,           8.5,       8.77342, ,           8.5,      8.723859, ,           8.5,      8.902905, ,             8,      8.969075, ,           7.5,      9.039133, ,           8.5,      9.221503, ,           8.5,       9.41875, ,           8.5,      9.613282, , , , , 
            9,      8.952988, ,             9,      8.922919, ,             9,       8.96119, ,             9,      8.881961, ,             9,      8.838028, ,             9,      8.997028, ,           8.5,      9.065947, ,             8,      9.124573, ,             9,      9.321567, ,             9,      9.516869, ,             9,      9.709694, , , , , 
          9.5,      9.033456, ,           9.5,      9.002783, ,           9.5,      9.036737, ,           9.5,      8.966323, ,           9.5,       8.92736, ,           9.5,      9.068192, ,             9,      9.140076, ,           8.5,      9.186649, ,           9.5,      9.396865, ,           9.5,      9.590097, ,           9.5,      9.780859, , , , , 
           10,      9.092039, ,            10,      9.060603, ,            10,      9.090437, ,            10,      9.028444, ,            10,       8.99386, ,            10,      9.118138, ,           9.5,      9.192646, ,             9,       9.22744, ,            10,      9.449778, ,            10,       9.64056, ,            10,      9.828873, , , , , 
         10.5,      9.130301, ,          10.5,      9.098286, ,          10.5,      9.124466, ,          10.5,      9.069872, ,          10.5,      9.039367, ,          10.5,      9.148363, ,            10,       9.22537, ,           9.5,      9.249054, ,          10.5,      9.481777, ,          10.5,      9.669573, ,          10.5,      9.854903, , , , , 
           11,      9.149532, ,            11,      9.117173, ,            11,      9.139894, ,            11,      9.092439, ,            11,      9.065532, ,            11,      9.160664, ,          10.5,      9.239299, ,            10,      9.253341, ,            11,      9.493809, ,            11,      9.678216, ,            11,        9.8598, , , , , 
         11.5,      9.151452, ,          11.5,      9.118169, ,          11.5,      9.137713, ,          11.5,      9.096589, ,          11.5,      9.073172, ,          11.5,      9.155467, ,            11,      9.235375, ,          10.5,      9.241765, ,          11.5,      9.487348, ,          11.5,      9.668003, ,          11.5,      9.845101, , , , , 
           12,      9.127971, ,            12,      9.097562, ,            12,      9.114044, ,            12,      9.079488, ,            12,      9.059417, ,            12,      9.128722, ,          11.5,      9.214521, ,            11,      9.215095, ,            12,      9.433218, ,            12,      9.546022, ,            12,      9.626528, , , , , 
         12.5,      8.869947, ,          12.5,      8.799292, ,          12.5,      8.793616, ,          12.5,      8.789271, ,          12.5,      8.790711, ,          12.5,       8.80167, ,            12,      9.170395, ,          11.5,      9.174205, ,          12.5,      8.819059, ,          12.5,      8.818778, ,          12.5,      8.835463, , , , , 
           13,      5.986297, ,            13,      5.764765, ,            13,      5.787422, ,            13,      5.741493, ,            13,      6.723811, ,            13,      5.807353, ,          12.5,      8.791307, ,            12,      9.109007, ,            13,      3.732824, ,            13,      3.450424, ,            13,       3.38811, , , , , 
