V (m/s),T2-VLM1+Drag, , V (m/s),T2-VLM1+Drag, , V (m/s),T2-VLM1+Drag, , V (m/s),T2-VLM1+Drag, , V (m/s),T2-VLM1+Drag, , V (m/s),T2-VLM1+Drag, , V (m/s),T2-VLM1+Drag, , V (m/s),T2-VLM1+Drag, , V (m/s),T2-VLM1+Drag, , V (m/s),T2-VLM1+Drag, , V (m/s),T2-VLM1+Drag, , V (m/s),T7-VLM2+Drag, , 
     69.79305,     0.0273762, ,      66.46406,     0.0273762, ,      59.54689,    0.03410584, ,      76.61979,    0.02059989, ,      93.68724,      0.013778, ,       54.4513,    0.04078781, ,       64.3889,    0.02916923, ,      58.79656,    0.03498187, ,      58.25897,    0.03388325, ,      55.13864,    0.03692146, ,      52.46396,    0.03982885, ,      13.68351,      0.707438, , 
     43.12344,    0.07170852, ,      41.06654,    0.07170852, ,      39.26681,    0.07843245, ,      43.15445,    0.06493752, ,      45.61514,    0.05812045, ,      37.69531,    0.08510839, ,      40.57287,    0.07346414, ,      39.05895,    0.07926943, ,      38.25846,    0.07856983, ,      37.04926,    0.08177711, ,      35.94497,    0.08484842, ,      13.68351,      0.707438, , 
     33.90035,      0.116035, ,      32.28337,      0.116035, ,      31.38767,     0.1227521, ,      33.26764,     0.1092705, ,      34.35559,     0.1024595, ,      30.56831,     0.1294208, ,      32.04698,     0.1177532, ,      31.28609,     0.1235505, ,      30.54655,     0.1232498, ,      29.77381,     0.1266258, ,      29.05502,     0.1298607, ,      13.68351,      0.707438, , 
     28.83815,     0.1603478, ,      27.46262,     0.1603478, ,      26.90553,     0.1670567, ,       28.0602,     0.1535909, ,      28.70315,     0.1467871, ,       26.3847,     0.1737171, ,      27.31982,     0.1620285, ,      26.84451,      0.167817, ,      26.17039,     0.1679153, ,      25.58671,     0.1714597, ,      25.03903,     0.1748578, ,      13.68351,      0.707438, , 
     25.52731,     0.2046386, ,       24.3097,     0.2046386, ,      23.92127,     0.2113384, ,       24.7207,     0.1978907, ,       25.1564,     0.1910953, ,      23.55353,     0.2179892, ,      24.21269,     0.2062818, ,      23.88048,     0.2120609, ,      23.26035,     0.2125583, ,      22.78224,     0.2162708, ,      22.33133,      0.219832, ,      13.68351,      0.707438, , 
     23.14657,     0.2488997, ,      22.04252,     0.2488997, ,      21.75216,      0.255589, ,      22.34708,     0.2421618, ,      22.66692,      0.235376, ,      21.47499,     0.2622292, ,      21.97176,     0.2505054, ,      21.72305,     0.2562744, ,      21.14678,      0.257171, ,      20.73636,     0.2610514, ,      20.34797,     0.2647754, ,      13.68351,      0.707438, , 
     21.32917,     0.2931229, ,      20.31181,     0.2931229, ,      20.08432,     0.2998007, ,      20.54896,     0.2863962, ,      20.79641,     0.2796212, ,      19.86591,      0.306429, ,      20.25769,     0.2946911, ,      20.06263,     0.3004494, ,      19.52248,     0.3017455, ,      19.15937,     0.3057936, ,      18.81496,     0.3096802, ,      13.68351,      0.707438, , 
     19.88339,     0.3373004, ,      18.93499,     0.3373004, ,      18.75064,     0.3439654, ,      19.12631,      0.330586, ,      19.32501,      0.323823, ,      18.57289,     0.3505806, ,      18.89217,      0.338831, ,      18.73397,     0.3445779, ,      18.22407,     0.3462739, ,      17.89608,     0.3504896, ,      17.58442,     0.3545387, ,      13.68351,      0.707438, , 
     18.69798,      0.381424, ,      17.80613,      0.381424, ,      17.65288,     0.3880751, ,      17.96462,     0.3747232, ,      18.12864,     0.3679734, ,      17.50463,     0.3946763, ,      17.77137,     0.3829172, ,      17.63978,     0.3886519, ,      17.15563,     0.3907484, ,      16.85484,     0.3951315, ,      16.56864,     0.3993431, ,      13.68351,      0.707438, , 
     17.70338,      0.425486, ,      16.85896,      0.425486, ,      16.72901,     0.4321221, ,        16.993,        0.4188, ,      17.13132,     0.4120644, ,      16.60297,     0.4387079, ,      16.83019,     0.4269418, ,      16.71854,     0.4326637, ,      16.25662,      0.435161, ,       15.9776,     0.4397116, ,      15.71182,     0.4440857, ,      13.68351,      0.707438, , 
     16.85353,     0.4694784, ,      16.04965,     0.4694784, ,      15.93768,     0.4760983, ,       16.1649,     0.4628082, ,      16.28355,     0.4560882, ,      15.82885,     0.4826676, ,      16.02546,     0.4708968, ,       15.9292,     0.4766052, ,      15.48671,      0.479504, ,      15.22555,     0.4842222, ,      14.97658,     0.4887587, ,      13.68351,      0.707438, , 
     16.11661,     0.5133933, ,      15.34788,     0.5133933, ,      15.25013,     0.5199958, ,       15.4483,     0.5067402, ,      15.55151,     0.5000368, ,      15.15495,     0.5265476, ,      15.32728,     0.5147743, ,       15.2432,     0.5204687, ,      14.81785,     0.5237697, ,      14.57166,     0.5286554, ,      14.33679,     0.5333544, ,      13.68351,      0.707438, , 
     15.46979,     0.5572229, ,      14.73191,     0.5572229, ,      14.64564,     0.5638069, ,      14.82041,      0.550588, ,      14.91121,     0.5439024, ,      14.56151,       0.57034, ,      14.71418,     0.5585666, ,      14.63993,     0.5642462, ,      14.22985,     0.5679502, ,      13.99641,     0.5730036, ,      13.77358,     0.5778652, ,      13.68351,      0.707438, , 
     14.89623,     0.6009594, ,       14.1857,     0.6009594, ,      14.10886,     0.6075238, ,      14.26444,     0.5943438, ,      14.34512,     0.5876771, ,      14.03383,     0.6140371, ,      14.17031,     0.6022658, ,      14.10414,     0.6079301, ,      13.70775,     0.6120379, ,      13.48533,     0.6172591, ,       13.2729,     0.6222836, , , , , 
     14.38319,      0.644595, ,      13.69714,      0.644595, ,      13.62814,     0.6511387, ,      13.76776,     0.6379998, ,      13.84004,     0.6313533, ,      13.56071,      0.657631, ,      13.68368,     0.6458643, ,      13.62423,     0.6515125, ,      13.24022,     0.6560252, ,      13.02743,     0.6614143, ,       12.8241,     0.6666018, , , , , 
     13.92086,      0.688122, ,      13.25686,      0.688122, ,      13.19448,     0.6946438, ,      13.32064,     0.6815484, ,      13.38586,     0.6749231, ,      13.13346,     0.7011141, ,      13.24501,     0.6893542, ,      13.19124,     0.6949857, ,      12.81846,     0.6999043, ,      12.61417,     0.7054617, ,      12.41888,     0.7108124, , , , , 
      13.5015,     0.7315327, ,       12.8575,     0.7315327, ,      12.80077,     0.7380316, ,      12.91546,     0.7249818, ,      12.97468,      0.718379, ,      12.74522,     0.7444788, ,      12.84701,     0.7327279, ,      12.79807,     0.7383421, ,      12.43558,     0.7436677, ,      12.23885,     0.7493937, ,      12.05072,      0.754908, , , , , 
     13.11893,     0.7748196, ,      12.49319,     0.7748196, ,      12.44131,     0.7812944, ,      12.54614,     0.7682925, ,      12.60021,     0.7617131, ,      12.39048,     0.7877174, ,      12.48386,     0.7759779, ,      12.43908,     0.7815742, ,      12.08601,     0.7873079, ,      11.89607,     0.7932028, ,      11.71437,     0.7988809, , , , , 
     12.76817,      0.817975, ,      12.15916,      0.817975, ,       12.1115,     0.8244247, ,      12.20777,     0.8114728, ,      12.25738,     0.8049181, ,      12.06478,     0.8308224, ,      12.15083,     0.8190966, ,      12.10967,     0.8246742, ,      11.76529,     0.8308174, ,      11.58146,     0.8368816, ,      11.40558,      0.842724, , , , , 
     12.44513,     0.8609915, ,      11.85152,     0.8609915, ,      11.80756,      0.867415, ,      11.89634,     0.8545153, ,      11.94205,     0.8479863, ,      11.76443,     0.8737863, ,      11.84406,     0.8620764, ,      11.80606,     0.8676349, ,      11.46972,     0.8741889, ,      11.29145,     0.8804227, ,      11.12084,     0.8864299, , , , , 
     12.14641,     0.9038616, ,      11.56705,     0.9038616, ,      11.52634,     0.9102578, ,      11.60853,     0.8974125, ,      11.65082,     0.8909103, ,      11.48638,     0.9166018, ,      11.56034,       0.90491, ,      11.52513,     0.9104487, ,      11.19625,     0.9174149, ,      11.02306,     0.9238189, ,      10.85727,     0.9299912, , , , , 
     11.86918,      0.946578, ,      11.30304,      0.946578, ,      11.26521,     0.9529459, ,      11.34157,     0.9401571, ,      11.38083,     0.9336827, ,      11.22807,     0.9592614, ,        11.297,       0.94759, ,      11.26425,     0.9531082, ,      10.94232,     0.9604882, ,      10.77378,     0.9670629, ,      10.61241,     0.9734009, , , , , 
     11.61105,     0.9891334, ,      11.05722,     0.9891334, ,      11.02196,     0.9954719, ,      11.09312,     0.9827416, ,      11.12968,     0.9762962, ,      10.98733,      1.001758, ,      11.05177,     0.9901091, ,      11.02122,     0.9956063, ,      10.70577,      1.003402, ,      10.54152,      1.010148, ,      10.38422,      1.016652, , , , , 
     11.36998,       1.03152, ,      10.82766,       1.03152, ,       10.7947,      1.037829, ,       10.8612,      1.025159, ,      10.89535,      1.018744, ,      10.76232,      1.044084, ,      10.82273,       1.03246, ,      10.79414,      1.037936, ,      10.48477,      1.046148, ,      10.32447,      1.053066, ,      10.17094,      1.059737, , , , , 
     11.14425,      1.073732, ,      10.61269,      1.073732, ,      10.58181,      1.080009, ,      10.64411,      1.067402, ,      10.67609,      1.061018, ,      10.55145,      1.086233, ,      10.60823,      1.074636, ,      10.58141,      1.080089, ,      10.27773,       1.08872, ,       10.1211,       1.09581, ,      9.971061,      1.102649, , , , , 
     10.93234,      1.115761, ,      10.41089,      1.115761, ,      10.38188,      1.122006, ,       10.4404,      1.109463, ,      10.47041,      1.103111, ,      10.35335,      1.128197, ,      10.40684,      1.116629, ,      10.38163,       1.12206, ,       10.0833,      1.131111, ,      9.930083,      1.138375, ,      9.783291,      1.145381, , , , , 
     10.73296,      1.157601, ,      10.22101,      1.157601, ,      10.19371,      1.163812, ,      10.24878,      1.151336, ,      10.27703,      1.145017, ,      10.16684,       1.16997, ,      10.21734,      1.158433, ,      10.19358,      1.163841, ,      9.900295,      1.173314, ,       9.75026,      1.180751, ,      9.606499,      1.187927, , , , , 
     10.54496,      1.199244, ,      10.04199,      1.199244, ,      10.01623,      1.205421, ,      10.06817,      1.193014, ,       10.0948,      1.186729, ,      9.990882,      1.211544, ,      10.03865,      1.200041, ,      10.01621,      1.205425, ,      9.727686,      1.215323, ,      9.580626,      1.222934, ,      9.439699,      1.230279, , , , , 
     10.36736,      1.240685, ,      9.872855,      1.240685, ,      9.848512,      1.246826, ,      9.897597,       1.23449, ,      9.922747,       1.22824, ,      9.824555,      1.252914, ,      9.869827,      1.241446, ,      9.848593,      1.246805, ,      9.564569,      1.257129, ,      9.420296,      1.264916, ,      9.282026,      1.272432, , , , , 
, , , , , , , , , , , , , , , , , ,      9.710037,      1.282641, ,      9.689909,      1.287975, , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , ,      9.539435,      1.328929, , , , , , , , , , , , , , 

