Alpha,T2-VLM1+Drag, , Alpha,T2-VLM1+Drag, , Alpha,T2-VLM1+Drag, , Alpha,T2-VLM1+Drag, , Alpha,T2-VLM1+Drag, , Alpha,T2-VLM1+Drag, , Alpha,T2-VLM1+Drag, , Alpha,T2-VLM1+Drag, , Alpha,T2-VLM1+Drag, , Alpha,T2-VLM1+Drag, , Alpha,T2-VLM1+Drag, , Alpha,T7-VLM2+Drag, , 
           -1,     0.0273762, ,            -1,     0.0273762, ,            -1,    0.03410584, ,            -1,    0.02059989, ,            -1,      0.013778, ,            -1,    0.04078781, ,          -1.5,    0.02916923, ,            -2,    0.03498187, ,            -1,    0.03388325, ,            -1,    0.03692146, ,            -1,    0.03982885, ,       6.78575,      0.707438, , 
         -0.5,    0.07170852, ,          -0.5,    0.07170852, ,          -0.5,    0.07843245, ,          -0.5,    0.06493752, ,          -0.5,    0.05812045, ,          -0.5,    0.08510839, ,            -1,    0.07346414, ,          -1.5,    0.07926943, ,          -0.5,    0.07856983, ,          -0.5,    0.08177711, ,          -0.5,    0.08484842, ,       6.78575,      0.707438, , 
            0,      0.116035, ,             0,      0.116035, ,             0,     0.1227521, ,             0,     0.1092705, ,             0,     0.1024595, ,             0,     0.1294208, ,          -0.5,     0.1177532, ,            -1,     0.1235505, ,             0,     0.1232498, ,             0,     0.1266258, ,             0,     0.1298607, ,       6.78575,      0.707438, , 
          0.5,     0.1603478, ,           0.5,     0.1603478, ,           0.5,     0.1670567, ,           0.5,     0.1535909, ,           0.5,     0.1467871, ,           0.5,     0.1737171, ,             0,     0.1620285, ,          -0.5,      0.167817, ,           0.5,     0.1679153, ,           0.5,     0.1714597, ,           0.5,     0.1748578, ,       6.78575,      0.707438, , 
            1,     0.2046386, ,             1,     0.2046386, ,             1,     0.2113384, ,             1,     0.1978907, ,             1,     0.1910953, ,             1,     0.2179892, ,           0.5,     0.2062818, ,             0,     0.2120609, ,             1,     0.2125583, ,             1,     0.2162708, ,             1,      0.219832, ,       6.78575,      0.707438, , 
          1.5,     0.2488997, ,           1.5,     0.2488997, ,           1.5,      0.255589, ,           1.5,     0.2421618, ,           1.5,      0.235376, ,           1.5,     0.2622292, ,             1,     0.2505054, ,           0.5,     0.2562744, ,           1.5,      0.257171, ,           1.5,     0.2610514, ,           1.5,     0.2647754, ,       6.78575,      0.707438, , 
            2,     0.2931229, ,             2,     0.2931229, ,             2,     0.2998007, ,             2,     0.2863962, ,             2,     0.2796212, ,             2,      0.306429, ,           1.5,     0.2946911, ,             1,     0.3004494, ,             2,     0.3017455, ,             2,     0.3057936, ,             2,     0.3096802, ,       6.78575,      0.707438, , 
          2.5,     0.3373004, ,           2.5,     0.3373004, ,           2.5,     0.3439654, ,           2.5,      0.330586, ,           2.5,      0.323823, ,           2.5,     0.3505806, ,             2,      0.338831, ,           1.5,     0.3445779, ,           2.5,     0.3462739, ,           2.5,     0.3504896, ,           2.5,     0.3545387, ,       6.78575,      0.707438, , 
            3,      0.381424, ,             3,      0.381424, ,             3,     0.3880751, ,             3,     0.3747232, ,             3,     0.3679734, ,             3,     0.3946763, ,           2.5,     0.3829172, ,             2,     0.3886519, ,             3,     0.3907484, ,             3,     0.3951315, ,             3,     0.3993431, ,       6.78575,      0.707438, , 
          3.5,      0.425486, ,           3.5,      0.425486, ,           3.5,     0.4321221, ,           3.5,        0.4188, ,           3.5,     0.4120644, ,           3.5,     0.4387079, ,             3,     0.4269418, ,           2.5,     0.4326637, ,           3.5,      0.435161, ,           3.5,     0.4397116, ,           3.5,     0.4440857, ,       6.78575,      0.707438, , 
